Date,Open,High,Low,Close,Adj Close,Volume
2011-01-24,3380.497070,3396.845947,3321.677002,3346.061035,3345.961670,2264187600
2011-01-25,3347.016113,3445.979004,3347.016113,3433.906006,3433.803955,2770704400
2011-01-26,3434.146973,3501.717041,3414.687012,3501.717041,3501.613281,3134714000
2011-01-27,3500.750000,3549.483887,3495.949951,3514.624023,3514.519775,3203578400
2011-01-28,3514.154053,3514.154053,3462.366943,3487.610107,3487.506592,0
2011-01-31,3487.139893,3487.139893,3383.157959,3409.166992,3409.065918,2629537000
2011-02-01,3411.075928,3452.020020,3411.075928,3442.500977,3442.398926,2664810400
2011-02-02,3443.158936,3490.253906,3443.158936,3480.825928,3480.722656,2266107000
2011-02-04,3480.919922,3500.544922,3462.941895,3496.168945,3496.065186,0
2011-02-07,3497.107910,3521.633057,3476.352051,3487.707031,3487.603516,1742817000
2011-02-08,3487.990967,3500.458984,3450.049072,3459.933105,3459.830322,2259321000
2011-02-09,3458.249023,3458.249023,3384.879883,3417.470947,3417.369385,2411141000
2011-02-10,3417.190918,3417.190918,3336.829102,3373.644043,3373.543701,2221810000
